category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,URL,cpu,ssd_capacity,gpu_full_name,os,screen_diagonal,ram,auto_time,weight_kg,matrix,ram_type,case_material,cpu_model,processor_brand,ghz_processor,processor_cores,screen_size,brightness,touch_screen,battery_capacity,screen_coating,gpu_type,brand_graphic_proccessor,storage_type,hz_screen,web_camera,brand,video_memory,chipset,hdd_capacity
laptop,"MAIBENBEN Ноутбук 15.6"", Intel Core i5-12450H, RAM 8 ГБ 512 ГБ, Intel UHD Graphics, Windows Pro, серый, Русская раскладка",,,25110,5.0,2,Sotomania,4.8,https://www.ozon.kz/product/maibenben-noutbuk-15-6-intel-core-i5-12450h-ram-8-gb-512-gb-intel-uhd-graphics-windows-pro-seryy-3800375233/,Intel Core i5-12450H,512,Intel UHD Graphics,Windows Pro,15.6,8.0,8.5,1.75,IPS,DDR4,Алюминий,Intel Core i5,Intel,2.0,8.0,1920x1080,300.0,Нет,69.3,,,,,,,,,,
laptop,"HUAWEI MateBook 14 FLMH-X Ноутбук 14.2"", Intel Core Ultra 5 125H, RAM 16 ГБ, SSD 1024 ГБ, Intel Arc Graphics, Без системы, зеленый, Русская раскладка",523339,2251014,43612,5.0,14,Фирменный магазин H...,4.9,https://www.ozon.kz/product/huawei-matebook-14-flmh-x-noutbuk-14-2-intel-core-ultra-5-125h-ram-16-gb-ssd-1024-gb-intel-arc-2401644027/,Intel Core Ultra 5 125H,1024,Intel Arc Graphics,Без системы,14.2,16.0,19.0,1.31,OLED,LPDDR5,Алюминий,Intel Core Ultra 5,Intel,,14.0,2880x1920,450.0,Да,70.0,Глянцевое,Встроенная,Intel,SSD,120,2.0,,,,
laptop,"Apple Ноутбук 11.6"", RAM 4 ГБ, SSD 128 ГБ, MacOS, серебристый, Русская раскладка",,,27878,,,Comp+,4.9,https://www.ozon.kz/product/apple-noutbuk-11-6-ram-4-gb-ssd-128-gb-macos-serebristyy-russkaya-raskladka-1962208507/,,128,,MacOS,11.6,4.0,,,,,,Intel Core i5,,,,,,,,,,,SSD,,,,,,
laptop,Ноутбук,,,19765,4.3,3,Полюс,4.9,https://www.ozon.kz/product/noutbuk-2428785666/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laptop,"AMDR5 Ноутбук 15.6"", RAM 32 ГБ 2048 ГБ, AMD Radeon, Windows Pro, (R5), серебристый, Русская раскладка",257297,604910,21442,5.0,13,hassenda,4.8,https://www.ozon.kz/product/amdr5-noutbuk-15-6-ram-32-gb-2048-gb-amd-radeon-windows-pro-r5-serebristyy-russkaya-raskladka-3300997840/,,2048,AMD Radeon,Windows Pro,15.6,32.0,,1.7,,DDR4,,AMD Ryzen 5,AMD,2.0,4.0,1920x1080,,,80.0,,,AMD,,120,5,,,,
laptop,"Tecno 16"" Megabook K16S серебристый [английская/русская раскладка, 1920x1200, IPS, AMD Ryzen 5 7430U, ядра: 6, RAM 8 ГБ, SSD 512 ГБ, AMD Radeon Graphics, Windows 11 Home] Ноутбук",,,35069,4.5,2,Матрица,4.7,https://www.ozon.kz/product/tecno-16-megabook-k16s-serebristyy-angliyskaya-russkaya-raskladka-1920x1200-ips-amd-ryzen-5-2880120166/,,,,,,,,,,,,AMD Ryzen 5,,,,,,,,,,,,,,Tecno,,,
laptop,"OLOIU Ноутбук 15.6"" с розовым корпусом и русской раскладкой клавиатуры. Ноутбук 15.6"", Intel Celeron N5095, RAM 16 ГБ, SSD 1024 ГБ, Intel HD Graphics, Windows Home, светло-розовый, Русская раскладка",227669,347918,18973,4.9,47,OLOIU,4.6,https://www.ozon.kz/product/oloiu-noutbuk-15-6-s-rozovym-korpusom-i-russkoy-raskladkoy-klaviatury-noutbuk-15-6-intel-celeron-1610576314/,Intel Celeron N5095,1024,Intel HD Graphics,Windows Home,15.6,16.0,8.0,1.65,IPS,DDR4,"ABS пластик, Алюминий",Intel Celeron,Intel,2.9,4.0,1920x1080,,Нет,60.0,Глянцевое,Встроенная,Intel,SSD,60,1,,16.0,Intel,
laptop,"MSI 9S7-261121-033 Ноутбук 16"", RAM 16 ГБ 1024 ГБ, Без системы, (4711377383646), Русская раскладка",,,91859,,,Магазин «Relise»,4.9,https://www.ozon.kz/product/msi-9s7-261121-033-noutbuk-16-ram-16-gb-1024-gb-bez-sistemy-4711377383646-russkaya-raskladka-3124703446/,,1024,,Без системы,16.0,16.0,,1.9,OLED,DDR5,,Intel Core Ultra 7,Intel,2.0,16.0,,600.0,,,Глянцевое,Дискретная,,,120,,,6.0,,
laptop,"MAIBENBEN M16B-R343UM M16B-R343UMB1SLSRE0 Ноутбук 16"", AMD Ryzen 3 4300U, RAM 8 ГБ, SSD 512 ГБ, AMD Radeon Graphics, Windows Home, (10010791), светло-серый, Русская раскладка",,,137956,5.0,18,Digital Era,5.0,https://www.ozon.kz/product/maibenben-m16b-r343um-m16b-r343umb1slsre0-noutbuk-16-amd-ryzen-3-4300u-ram-8-gb-ssd-512-gb-3467787106/,AMD Ryzen 3 4300U,512,AMD Radeon Graphics,Windows Home,16.0,8.0,,1.89,IPS,DDR4,"Алюминий, Пластик",AMD Ryzen 3,AMD,2.7,4.0,1920x1200,300.0,,55.0,Глянцевое,Встроенная,AMD,SSD,60,1,MAIBENBEN,,,
laptop,"Acer SFA16-61M-R721 Ноутбук 16.00"", AMD Ryzen AI 7 350, RAM 16 ГБ, SSD 1024 ГБ, AMD Radeon 860M, Без системы, (NX.DJBCD.002), серебристый, Русская раскладка",888924,1375370,74077,,,Позитроника,4.8,https://www.ozon.kz/product/acer-sfa16-61m-r721-noutbuk-16-00-amd-ryzen-ai-7-350-ram-16-gb-ssd-1024-gb-amd-radeon-860m-3563090799/,AMD Ryzen AI 7 350,1024,AMD Radeon 860M,Без системы,16.0,16.0,13.0,1.1,OLED,LPDDR5,Алюминий,AMD Ryzen AI 7,AMD,2.0,8.0,1920x1200,300.0,,50.0,Глянцевое,Встроенная,AMD,SSD,60,2.0,,,AMD,
laptop,,,,,,,,,https://www.ozon.kz/product/lenovo-ideapad-slim-3-15amn8-noutbuk-15-6-amd-ryzen-5-7520u-ram-16-gb-ssd-512-gb-amd-radeon-610m-3545529932/,AMD Ryzen 5 7520U,512,AMD Radeon 610M,Без системы,15.6,16.0,11.0,1.62,IPS,LPDDR5,,AMD Ryzen 5,AMD,2.8,4.0,1920x1080,300.0,Нет,47.0,Матовое,Встроенная,AMD,SSD,60,2.0,Lenovo,,,
laptop,,,,,,,,,https://www.ozon.kz/product/acer-gadget-e10-erbook-max-16-noutbuk-16-amd-ryzen-7-8745hs-ram-16-gb-ssd-512-gb-amd-radeon-780m-3678400949/,AMD Ryzen 7 8745HS,512,AMD Radeon 780M,Windows Home,16.0,16.0,,1.79,IPS,DDR5,"Металл, Пластик",AMD Ryzen 7,AMD,3.8,8.0,1920x1200,280.0,,74.0,Матовое,Встроенная,AMD,SSD,60,1,,,,
laptop,"Windows Ноутбук 14"", Intel Pentium N3700, RAM 12 ГБ, SSD 512 ГБ, Intel HD Graphics, Windows Pro, серебристый, Русская раскладка",145303,244674,12109,4.5,230,SKG,4.5,https://www.ozon.kz/product/windows-noutbuk-14-intel-pentium-n3700-ram-12-gb-ssd-512-gb-intel-hd-graphics-windows-2017248907/,Intel Pentium N3700,512,Intel HD Graphics,Windows Pro,14.0,12.0,,1.2,TN,"DDR3, DDR4",ABS пластик,Intel Pentium,Intel,2.4,4.0,1366x768,,Нет,,Матовое,Встроенная,Intel,SSD,60,0.3,,16.0,Intel,
laptop,"Lenovo Серый Ноутбук 14"", Intel Core Ultra 7 255H, RAM 32 ГБ 1024 ГБ, Intel Arc Graphics, Windows Home, серебристый, серый, Русская раскладка",966211,1337621,80518,,,LosTelecom,5.0,https://www.ozon.kz/product/lenovo-seryy-noutbuk-14-intel-core-ultra-7-255h-ram-32-gb-1024-gb-intel-arc-graphics-windows-home-2415473433/,Intel Core Ultra 7 255H,1024,Intel Arc Graphics,Windows Home,14.0,32.0,7.0,1.36,IPS,DDR5,Алюминий,Intel Core Ultra 7,Intel,5.1,16.0,3072x1920,300.0,Нет,85.0,Матовое,Дискретная,Intel,,120,,Lenovo,,Intel,
laptop,"Apple MacBook Pro 14 M5 2025 Ноутбук 14.2"", RAM 16 ГБ, SSD 1024 ГБ, Apple M5, MacOS, (MDE54), серебристый, Русская раскладка",1286411,11446113,107201,5.0,22,MacTop,5.0,https://www.ozon.kz/product/apple-macbook-pro-14-m5-2025-noutbuk-14-2-ram-16-gb-ssd-1024-gb-apple-m5-macos-mde54-serebristyy-3039084373/,,1024,Apple M5,MacOS,14.2,16.0,24.0,1.55,Liquid Retina XDR,DDR5,Алюминий,Apple M5,Apple,4.05,10.0,3024x1964,1600.0,Нет,,Матовое,Встроенная,Apple,SSD,120,,,,,
laptop,"MSI Vector 16 HX Ai A2XWHG-080XRU Игровой ноутбук 16"", Intel Core Ultra 7 255HX, RAM 64 ГБ, SSD 2048 ГБ, NVIDIA GeForce RTX 5070 Ti для ноутбуков (12 Гб), Windows Pro, (9S7-15M352-080/64GB/2TB/WIN11PRO), серый, Русская раскладка",,,154504,,,MetaComp,4.8,https://www.ozon.kz/product/msi-vector-16-hx-ai-a2xwhg-080xru-igrovoy-noutbuk-16-intel-core-ultra-7-255hx-ram-64-gb-ssd-2048-gb-2860176745/,Intel Core Ultra 7 255HX,2048,NVIDIA GeForce RTX 5070 Ti для ноутбуков (12 Гб),Windows Pro,16.0,64.0,3.0,,,DDR5,,Intel Core Ultra 7,,2.3,20.0,2560x1600,,Нет,,Матовое,Дискретная,,SSD,240,2.0,,12.0,,
laptop,"HP Pavilion Gaming 15-cx0030ur Игровой ноутбук 15.6"", Intel Core i5-8300H, RAM 8 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1050 (4 Гб), Windows Pro, черный",,,24995,,,НОУТБУК плюс,,https://www.ozon.kz/product/hp-pavilion-gaming-15-cx0030ur-igrovoy-noutbuk-15-6-intel-core-i5-8300h-ram-8-gb-ssd-512-gb-nvidia-3583032883/,Intel Core i5-8300H,512,NVIDIA GeForce GTX 1050 (4 Гб),Windows Pro,15.6,8.0,,,,DDR4,,Intel Core i5,Intel,4.0,4.0,,,,,,Дискретная,,SSD,,,HP,4.0,,
laptop,"QOPP SSD 256 ГБ Ноутбук 15.6"", Intel Celeron N5095, RAM 16 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows Pro, серый, Русская раскладка",,,14781,4.7,199,ООО МВЛ,4.7,https://www.ozon.kz/product/qopp-ssd-256-gb-noutbuk-15-6-intel-celeron-n5095-ram-16-gb-ssd-256-gb-intel-uhd-graphics-windows-2796420033/,Intel Celeron N5095,256,Intel UHD Graphics,Windows Pro,15.6,16.0,5.0,1.76,IPS,DDR4,ABS пластик,Intel N5095,Intel,2.9,4.0,1920x1080,250.0,Нет,38.5,Глянцевое,Встроенная,Intel,SSD,60,2.0,,16.0,Intel,
laptop,"HUAWEI Ноутбук 14.2"", Intel Core Ultra 7 155H, RAM 16 ГБ, SSD 1000 ГБ, Intel Arc Graphics, Без системы, (53014MTK), синий, Русская раскладка",,,80645,5.0,110,КомпьютерМаркет,4.8,https://www.ozon.kz/product/huawei-noutbuk-14-2-intel-core-ultra-7-155h-ram-16-gb-ssd-1000-gb-intel-arc-graphics-bez-sistemy-3561173315/,Intel Core Ultra 7 155H,1000,Intel Arc Graphics,Без системы,14.2,16.0,8.0,1.0,OLED,DDR5,Металл,Intel Core Ultra 7,Intel,3.8,16.0,3120x2080,1000.0,Да,70.0,Глянцевое,Встроенная,Intel,SSD,120,2.0,,,,
