category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,url,article,screen_diagonal,ram,os,internal_storage,screen_size,cpu,main_camera,matrix,type_of_tablet,brand,announcement_year,android_version,hz_screen,ppi,processor_brand,processor_cores,ghz_processor,brand_graphic_proccessor,video_processor,front_camera,keyboard,case_material,waterproof,battery_capacity,accessories_included,dimensions,weight_g,country_of_origin,ios_version,harmonyos_version
tablets,"Hotwav Планшет TAB R9 Pro Планшет 11-дюймовый дисплей 2K-класса FHD+, ОС Android 14.0, чип Unisoc T606, 2x A75 1,6 ГГц + 6x A55, процессор Mali G57 MP1 @ 650 МГц, аккумулятор 20080 мАч, GPS+BEIDOU+ГЛОНАСС+Galileo, камера 64 МП+16 МП, 11"" 6 ГБ/256 ГБ, лиловый",84416.0,232764.0,7035.0,4.7,96,ИП Кулпеишова,4.4,https://www.ozon.kz/product/hotwav-planshet-tab-r9-pro-planshet-11-dyuymovyy-displey-2k-klassa-fhd-os-android-14-0-chip-unisoc-2135465345/,2135465345,11.0,6.0,Android,256,2504x1080,Tiger T606,64.0,IPS HD+,Планшет,Hotwav,2024,Android 14,120,350.0,Unisoc,8,1.6,ARM,Mali-G57 MP1,16.0,Опционально,"Металл, Полимер, Силикон, Стекло, Пластик",Да,20080,Стилус,300*200*20,1200.0,Китай,,
tablets,"KENSHI Детский планшет KENSHI Kids E18 LTE 3/64 ГБ, 1280x800, IPS, 60 Гц, 5000 мА*ч, коричневый, 10.1"" 3 ГБ/64 ГБ, коричневый",79206.0,201339.0,6601.0,,,RS-Eectronics,4.9,https://www.ozon.kz/product/kenshi-detskiy-planshet-kenshi-kids-e18-lte-3-64-gb-1280x800-ips-60-gts-5000-ma-ch-korichnevyy-10-3452294810/,3452294810,10.1,3.0,Android,64,1280x800,Tiger T310,,IPS,Детский планшет,,2023,Android 13.x,60,149.0,Unisoc,4,2.0,PowerVR,GT7200,0.3,,Пластик,,5000,,257.5x206x9.5,528.0,Китай,,
tablets,"HUAWEI Планшет, 11"" 8 ГБ/128 ГБ, серый",,,9342.0,5.0,1,М.Видео,4.8,https://www.ozon.kz/product/huawei-planshet-11-8-gb-128-gb-seryy-3533773967/,3533773967,11.0,8.0,Другая,128,1920x1200,Kirin 710A,8.0,IPS,Планшет,,,,,,HiSilicon,8,2.0,,,5.0,,Металл,,7700,Стилус,163.8x252.3x6.9,475.0,Китай,,
tablets,"Планшет Pad Galxay S25 Ultra, 10.1"" 16 ГБ/1024 ГБ, сиреневый, светло-розовый",59896.0,322078.0,4992.0,5.0,70,YZ Store,4.9,https://www.ozon.kz/product/planshet-pad-galxay-s25-ultra-10-1-16-gb-1024-gb-sirenevyy-svetlo-rozovyy-3351633180/,3351633180,10.1,16.0,Android,1024,2560x1600,Snapdragon 8 Gen3 Leading Version,32.0,IPS,Планшет,,2025,Android 15,140,,Qualcomm,8,3.4,Qualcomm,Adreno 750,16.0,Опционально,"Металл, Пластик, Стекло",Да,10000,Клавиатура,214*160*8.7,300.0,Китай,,
tablets,"Honor Планшет Honor Pad GT2 Pro игровой Snapdragon 8 12.5 дюйма 165 Гц мощный планшет для игр и мультимедиа, 12.5"" 8 ГБ/128 ГБ, серый металлик, серый",244474.0,942238.0,20373.0,,,DigiMart Store,4.9,https://www.ozon.kz/product/honor-planshet-honor-pad-gt2-pro-igrovoy-snapdragon-8-12-5-dyuyma-165-gts-moshchnyy-planshet-dlya-3312049316/,3312049316,12.5,8.0,Android,128,3048x2032,Snapdragon 8 Gen3,13.0,LCD,Планшет,,2025,Android 15,165,294.0,Qualcomm,8,3.3,Adreno,,8.0,,Металл,Да,10100,,277.8 × 190.93 × 5.95 mm,580.0,Китай,,
tablets,"Infinix Планшет Infinix XPAD 20 LTE 8/256 ГБ, 7000 мА*ч, Android 15.x, зеленый, 11"" 8 ГБ/256 ГБ, зеленый",,,17466.0,,,S-P.Shop,4.8,https://www.ozon.kz/product/infinix-planshet-infinix-xpad-20-lte-8-256-gb-7000-ma-ch-android-15-x-zelenyy-11-8-gb-256-gb-zelenyy-2633861797/,2633861797,11.0,8.0,Android,256,1920x1200,Helio G88,8.0,IPS,Планшет,,2025,Android 15,90,206.0,MediaTek,8,2.0,ARM,Mali-G52 MC2,5.0,,"Металл, Пластик",,7000,,257.6x169.2x7.9,498.0,Китай,,
tablets,"Планшет Infinxi Pad Note 14 Pro，Андроид 2026 года, 10.1"" 16 ГБ/1024 ГБ, кремовый",51257.0,321359.0,4272.0,4.8,37,ZHII10,4.9,https://www.ozon.kz/product/planshet-infinxi-pad-note-14-pro-android-2026-goda-10-1-16-gb-1024-gb-kremovyy-3574013956/,3574013956,10.1,16.0,Android,1024,2560x1600,Snapdragon 8 Gen3 Leading Version,32.0,IPS,Планшет,,2026,Android 15,120,,Qualcomm,8,3.4,Qualcomm,Adreno 750,16.0,Опционально,"Металл, Стекло, Пластик",Да,10000,"Клавиатура, Стилус",214*160*8.7,300.0,Китай,,
tablets,"Xiaomi Планшет, серый",,,17579.0,,,М.Видео,4.8,https://www.ozon.kz/product/xiaomi-planshet-seryy-3692458707/,3692458707,,,,,,,,,Планшет,,,,,,,,,,,,,,,,,,,Китай,,
tablets,"Планшет Планшет 2026 года выпуска, Новый 5G Android 13, 10,36"", 16 ГБ +1 ТБ, 12000 мАч, 14-ядерный процессор, Wi-Fi, Большая сеть беспроводная, Русская Bluetooth-Клавиатура, Планшетная Пк. гарнитура, Bluetooth-гарнитура, Обычное устройство, Сенсорная ручка, 10.36"" 16 ГБ/1024 ГБ, синий",46026.0,161659.0,3836.0,5.0,3,Компьютерный магази...,4.9,https://www.ozon.kz/product/tablet-10-36-1024-gb-blue-3515714809/,3515714809,10.36,16.0,Android,1024,2560x1600,,32.0,IPS,Планшет,,2026,Android 13,,,MediaTek,14,3.2,MediaTek,,16.0,Есть,Металл,Да,12000,Клавиатура,300*200*50,500.0,Китай,,
tablets,"Планшет Pad Samsumg Galxay S26 Plus, 10.1"" 16 ГБ/1024 ГБ, перламутровый, черно-серый",68981.0,330038.0,5749.0,5.0,33,NexusGlow Store,4.9,https://www.ozon.kz/product/planshet-pad-samsumg-galxay-s26-plus-10-1-16-gb-1024-gb-perlamutrovyy-cherno-seryy-3629925809/,3629925809,10.1,16.0,Android,1024,2560x1600,Snapdragon 8 Gen3 Leading Version,32.0,Super AMOLED,Планшет,,2026,Android 15,120,,Qualcomm,8,3.4,Qualcomm,Adreno 750,16.0,Опционально,"Металл, Стекло",Да,10000,Клавиатура,214*160*8.7,300.0,Китай,,
tablets,"Samsung Планшет Galaxy Tab S11 5G, 10.9"" 128 ГБ, серый",,,48629.0,,,iVika,5.0,https://www.ozon.kz/product/samsung-planshet-galaxy-tab-s11-5g-10-9-128-gb-seryy-3732061029/,3732061029,10.9,,Android,128,2560x1600,Snapdragon 8s Gen4,13.0,,Планшет,Samsung,2025,Android 15,120,287.0,Qualcomm,8,3.0,Qualcomm,Adreno 735,,Опционально,Авиационный алюминий,Да,8000,Стилус,"253,8 × 165,3 × 5,5",482.0,,,
