category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,cpu,ssd_capacity,gpu_full_name,os,screen_diagonal,ram,auto_time,weight_kg,matrix,ram_type,case_material,cpu_model,processor_brand,ghz_processor,processor_cores,screen_size,touch_screen,battery_capacity,screen_coating,gpu_type,brand_graphic_proccessor,storage_type,hz_screen,web_camera,discount_abs,discount_pct,ram_per_core,high_refresh_rate,cpu_power_proxy,res_w,res_h,pixel_count
laptop,"MAIBENBEN Ноутбук 15.6"", Intel Core i5-12450H, RAM 8 ГБ 512 ГБ, Intel UHD Graphics, Windows Pro, серый, Русская раскладка",424220.0,834731.0,25110.0,5.0,2.0,Sotomania,4.8,Intel Core i5-12450H,512.0,Intel UHD Graphics,Windows Pro,15.6,8.0,8.5,1.75,IPS,DDR4,Алюминий,Intel Core i5,Intel,2.0,8.0,1920x1080,Нет,69.3,no_data,no_data,no_data,no_data,60.0,2.0,410511.0,49.18,1.0,False,16.0,1920.0,1080.0,2073600.0
laptop,"HUAWEI MateBook 14 FLMH-X Ноутбук 14.2"", Intel Core Ultra 5 125H, RAM 16 ГБ, SSD 1024 ГБ, Intel Arc Graphics, Без системы, зеленый, Русская раскладка",523339.0,2251014.0,43612.0,5.0,14.0,Фирменный магазин H...,4.9,Intel Core Ultra 5 125H,1024.0,Intel Arc Graphics,Без системы,14.2,16.0,19.0,1.31,OLED,LPDDR5,Алюминий,Intel Core Ultra 5,Intel,2.6,14.0,2880x1920,Да,70.0,Глянцевое,Встроенная,Intel,SSD,120.0,2.0,1727675.0,76.75,1.1428571428571428,True,36.4,2880.0,1920.0,5529600.0
laptop,"Apple Ноутбук 11.6"", RAM 4 ГБ, SSD 128 ГБ, MacOS, серебристый, Русская раскладка",424220.0,834731.0,27878.0,4.9,30.0,Comp+,4.9,no_data,128.0,no_data,MacOS,11.6,4.0,7.0,1.7,no_data,no_data,no_data,Intel Core i5,no_data,2.6,8.0,no_data,no_data,56.0,no_data,no_data,no_data,SSD,60.0,2.0,410511.0,49.18,0.5,False,20.8,1920.0,1080.0,2073600.0
laptop,Ноутбук,424220.0,834731.0,19765.0,4.3,3.0,Полюс,4.9,no_data,512.0,no_data,no_data,15.6,16.0,7.0,1.7,no_data,no_data,no_data,no_data,no_data,2.6,8.0,no_data,no_data,56.0,no_data,no_data,no_data,no_data,60.0,2.0,410511.0,49.18,2.0,False,20.8,1920.0,1080.0,2073600.0
laptop,"AMDR5 Ноутбук 15.6"", RAM 32 ГБ 2048 ГБ, AMD Radeon, Windows Pro, (R5), серебристый, Русская раскладка",257297.0,604910.0,21442.0,5.0,13.0,hassenda,4.8,no_data,2048.0,AMD Radeon,Windows Pro,15.6,32.0,7.0,1.7,no_data,DDR4,no_data,AMD Ryzen 5,AMD,2.0,4.0,1920x1080,no_data,80.0,no_data,no_data,AMD,no_data,120.0,5.0,347613.0,57.47,8.0,True,8.0,1920.0,1080.0,2073600.0
laptop,"Tecno 16"" Megabook K16S серебристый [английская/русская раскладка, 1920x1200, IPS, AMD Ryzen 5 7430U, ядра: 6, RAM 8 ГБ, SSD 512 ГБ, AMD Radeon Graphics, Windows 11 Home] Ноутбук",424220.0,834731.0,35069.0,4.5,2.0,Матрица,4.7,no_data,512.0,no_data,no_data,15.6,16.0,7.0,1.7,no_data,no_data,no_data,AMD Ryzen 5,no_data,2.6,8.0,no_data,no_data,56.0,no_data,no_data,no_data,no_data,60.0,2.0,410511.0,49.18,2.0,False,20.8,1920.0,1080.0,2073600.0
laptop,"OLOIU Ноутбук 15.6"" с розовым корпусом и русской раскладкой клавиатуры. Ноутбук 15.6"", Intel Celeron N5095, RAM 16 ГБ, SSD 1024 ГБ, Intel HD Graphics, Windows Home, светло-розовый, Русская раскладка",227669.0,347918.0,18973.0,4.9,47.0,OLOIU,4.6,Intel Celeron N5095,1024.0,Intel HD Graphics,Windows Home,15.6,16.0,8.0,1.65,IPS,DDR4,"ABS пластик, Алюминий",Intel Celeron,Intel,2.9,4.0,1920x1080,Нет,60.0,Глянцевое,Встроенная,Intel,SSD,60.0,1.0,120249.0,34.56,4.0,False,11.6,1920.0,1080.0,2073600.0
laptop,"MSI 9S7-261121-033 Ноутбук 16"", RAM 16 ГБ 1024 ГБ, Без системы, (4711377383646), Русская раскладка",424220.0,834731.0,91859.0,4.9,30.0,Магазин «Relise»,4.9,no_data,1024.0,no_data,Без системы,16.0,16.0,7.0,1.9,OLED,DDR5,no_data,Intel Core Ultra 7,Intel,2.0,16.0,no_data,no_data,56.0,Глянцевое,Дискретная,no_data,no_data,120.0,2.0,410511.0,49.18,1.0,True,32.0,1920.0,1080.0,2073600.0
laptop,"MAIBENBEN M16B-R343UM M16B-R343UMB1SLSRE0 Ноутбук 16"", AMD Ryzen 3 4300U, RAM 8 ГБ, SSD 512 ГБ, AMD Radeon Graphics, Windows Home, (10010791), светло-серый, Русская раскладка",424220.0,834731.0,137956.0,5.0,18.0,Digital Era,5.0,AMD Ryzen 3 4300U,512.0,AMD Radeon Graphics,Windows Home,16.0,8.0,7.0,1.89,IPS,DDR4,"Алюминий, Пластик",AMD Ryzen 3,AMD,2.7,4.0,1920x1200,no_data,55.0,Глянцевое,Встроенная,AMD,SSD,60.0,1.0,410511.0,49.18,2.0,False,10.8,1920.0,1200.0,2304000.0
laptop,"Acer SFA16-61M-R721 Ноутбук 16.00"", AMD Ryzen AI 7 350, RAM 16 ГБ, SSD 1024 ГБ, AMD Radeon 860M, Без системы, (NX.DJBCD.002), серебристый, Русская раскладка",888924.0,1375370.0,74077.0,4.9,30.0,Позитроника,4.8,AMD Ryzen AI 7 350,1024.0,AMD Radeon 860M,Без системы,16.0,16.0,13.0,1.1,OLED,LPDDR5,Алюминий,AMD Ryzen AI 7,AMD,2.0,8.0,1920x1200,no_data,50.0,Глянцевое,Встроенная,AMD,SSD,60.0,2.0,486446.0,35.37,2.0,False,16.0,1920.0,1200.0,2304000.0
laptop,,424220.0,834731.0,37342.0,4.9,30.0,no_data,4.8,AMD Ryzen 5 7520U,512.0,AMD Radeon 610M,Без системы,15.6,16.0,11.0,1.62,IPS,LPDDR5,no_data,AMD Ryzen 5,AMD,2.8,4.0,1920x1080,Нет,47.0,Матовое,Встроенная,AMD,SSD,60.0,2.0,410511.0,49.18,4.0,False,11.2,1920.0,1080.0,2073600.0
laptop,,424220.0,834731.0,37342.0,4.9,30.0,no_data,4.8,AMD Ryzen 7 8745HS,512.0,AMD Radeon 780M,Windows Home,16.0,16.0,7.0,1.79,IPS,DDR5,"Металл, Пластик",AMD Ryzen 7,AMD,3.8,8.0,1920x1200,no_data,74.0,Матовое,Встроенная,AMD,SSD,60.0,1.0,410511.0,49.18,2.0,False,30.4,1920.0,1200.0,2304000.0
laptop,"Windows Ноутбук 14"", Intel Pentium N3700, RAM 12 ГБ, SSD 512 ГБ, Intel HD Graphics, Windows Pro, серебристый, Русская раскладка",145303.0,244674.0,12109.0,4.5,230.0,SKG,4.5,Intel Pentium N3700,512.0,Intel HD Graphics,Windows Pro,14.0,12.0,7.0,1.2,TN,"DDR3, DDR4",ABS пластик,Intel Pentium,Intel,2.4,4.0,1366x768,Нет,56.0,Матовое,Встроенная,Intel,SSD,60.0,0.3,99371.0,40.61,3.0,False,9.6,1366.0,768.0,1049088.0
laptop,"Lenovo Серый Ноутбук 14"", Intel Core Ultra 7 255H, RAM 32 ГБ 1024 ГБ, Intel Arc Graphics, Windows Home, серебристый, серый, Русская раскладка",966211.0,1337621.0,80518.0,4.9,30.0,LosTelecom,5.0,Intel Core Ultra 7 255H,1024.0,Intel Arc Graphics,Windows Home,14.0,32.0,7.0,1.36,IPS,DDR5,Алюминий,Intel Core Ultra 7,Intel,5.1,16.0,3072x1920,Нет,85.0,Матовое,Дискретная,Intel,no_data,120.0,2.0,371410.0,27.77,2.0,True,81.6,3072.0,1920.0,5898240.0
laptop,"Apple MacBook Pro 14 M5 2025 Ноутбук 14.2"", RAM 16 ГБ, SSD 1024 ГБ, Apple M5, MacOS, (MDE54), серебристый, Русская раскладка",1286411.0,11446113.0,107201.0,5.0,22.0,MacTop,5.0,no_data,1024.0,Apple M5,MacOS,14.2,16.0,24.0,1.55,Liquid Retina XDR,DDR5,Алюминий,Apple M5,Apple,4.05,10.0,3024x1964,Нет,56.0,Матовое,Встроенная,Apple,SSD,120.0,2.0,10159702.0,88.76,1.6,True,40.5,3024.0,1964.0,5939136.0
