category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,url,article,screen_diagonal,ram,os,internal_storage,screen_size,cpu,main_camera,matrix,type_of_tablet,announcement_year,hz_screen,ppi,processor_brand,processor_cores,ghz_processor,brand_graphic_proccessor,video_processor,front_camera,keyboard,case_material,waterproof,battery_capacity,accessories_included,dimensions,weight_g,country_of_origin,res_w,res_h,pixel_count,discount_abs,discount_pct,cpu_power_proxy,ram_per_core,storage_per_price,ram_per_price,battery_per_gram,total_camera_mp,high_refresh_rate,screen_area_proxy,keyboard_flag,stylus_flag,waterproof_flag
tablets,"Hotwav Планшет TAB R9 Pro Планшет 11-дюймовый дисплей 2K-класса FHD+, ОС Android 14.0, чип Unisoc T606, 2x A75 1,6 ГГц + 6x A55, процессор Mali G57 MP1 @ 650 МГц, аккумулятор 20080 мАч, GPS+BEIDOU+ГЛОНАСС+Galileo, камера 64 МП+16 МП, 11"" 6 ГБ/256 ГБ, лиловый",84416.0,232764.0,7035.0,4.7,96.0,ИП Кулпеишова,4.4,https://www.ozon.kz/product/hotwav-planshet-tab-r9-pro-planshet-11-dyuymovyy-displey-2k-klassa-fhd-os-android-14-0-chip-unisoc-2135465345/,2135465345.0,11.0,6.0,Android,256.0,2504x1080,Tiger T606,64.0,IPS HD+,Планшет,2024.0,120.0,350.0,Unisoc,8.0,1.6,ARM,Mali-G57 MP1,16.0,Опционально,"Металл, Полимер, Силикон, Стекло, Пластик",Да,20080.0,Стилус,300*200*20,1200.0,Китай,2504.0,1080.0,2704320.0,148348.0,63.73322335068997,12.8,0.75,0.003032600454890068,7.107657316148597e-05,16.733333333333334,80.0,1,121.0,1,1,1
tablets,"KENSHI Детский планшет KENSHI Kids E18 LTE 3/64 ГБ, 1280x800, IPS, 60 Гц, 5000 мА*ч, коричневый, 10.1"" 3 ГБ/64 ГБ, коричневый",79206.0,201339.0,6601.0,4.9,33.0,RS-Eectronics,4.9,https://www.ozon.kz/product/kenshi-detskiy-planshet-kenshi-kids-e18-lte-3-64-gb-1280x800-ips-60-gts-5000-ma-ch-korichnevyy-10-3452294810/,3452294810.0,10.1,3.0,Android,64.0,1280x800,Tiger T310,13.0,IPS,Детский планшет,2023.0,60.0,149.0,Unisoc,4.0,2.0,PowerVR,GT7200,0.3,no_data,Пластик,no_data,5000.0,no_data,257.5x206x9.5,528.0,Китай,1280.0,800.0,1024000.0,122133.0,60.66037876417386,8.0,0.75,0.000808019594475166,3.7875918491023404e-05,9.469696969696969,13.3,0,102.00999999999999,0,0,0
tablets,"HUAWEI Планшет, 11"" 8 ГБ/128 ГБ, серый",60747.5,302265.0,9342.0,5.0,1.0,М.Видео,4.8,https://www.ozon.kz/product/huawei-planshet-11-8-gb-128-gb-seryy-3533773967/,3533773967.0,11.0,8.0,Другая,128.0,1920x1200,Kirin 710A,8.0,IPS,Планшет,2025.0,120.0,264.0,HiSilicon,8.0,2.0,no_data,no_data,5.0,no_data,Металл,no_data,7700.0,Стилус,163.8x252.3x6.9,475.0,Китай,1920.0,1200.0,2304000.0,241517.5,79.90256893785255,16.0,1.0,0.0021070825959916047,0.0001316926622494753,16.210526315789473,13.0,1,121.0,0,1,0
tablets,"Планшет Pad Galxay S25 Ultra, 10.1"" 16 ГБ/1024 ГБ, сиреневый, светло-розовый",59896.0,322078.0,4992.0,5.0,70.0,YZ Store,4.9,https://www.ozon.kz/product/planshet-pad-galxay-s25-ultra-10-1-16-gb-1024-gb-sirenevyy-svetlo-rozovyy-3351633180/,3351633180.0,10.1,16.0,Android,1024.0,2560x1600,Snapdragon 8 Gen3 Leading Version,32.0,IPS,Планшет,2025.0,140.0,264.0,Qualcomm,8.0,3.4,Qualcomm,Adreno 750,16.0,Опционально,"Металл, Пластик, Стекло",Да,10000.0,Клавиатура,214*160*8.7,300.0,Китай,2560.0,1600.0,4096000.0,262182.0,81.4032625637268,27.2,2.0,0.017096300253773206,0.00026712969146520634,33.333333333333336,48.0,1,102.00999999999999,1,0,1
tablets,"Honor Планшет Honor Pad GT2 Pro игровой Snapdragon 8 12.5 дюйма 165 Гц мощный планшет для игр и мультимедиа, 12.5"" 8 ГБ/128 ГБ, серый металлик, серый",244474.0,942238.0,20373.0,4.9,33.0,DigiMart Store,4.9,https://www.ozon.kz/product/honor-planshet-honor-pad-gt2-pro-igrovoy-snapdragon-8-12-5-dyuyma-165-gts-moshchnyy-planshet-dlya-3312049316/,3312049316.0,12.5,8.0,Android,128.0,3048x2032,Snapdragon 8 Gen3,13.0,LCD,Планшет,2025.0,165.0,294.0,Qualcomm,8.0,3.3,Adreno,no_data,8.0,no_data,Металл,Да,10100.0,no_data,277.8 × 190.93 × 5.95 mm,580.0,Китай,3048.0,2032.0,6193536.0,697764.0,74.05390145589543,26.4,1.0,0.0005235730588937883,3.272331618086177e-05,17.413793103448278,21.0,1,156.25,0,0,1
tablets,"Infinix Планшет Infinix XPAD 20 LTE 8/256 ГБ, 7000 мА*ч, Android 15.x, зеленый, 11"" 8 ГБ/256 ГБ, зеленый",60747.5,302265.0,17466.0,4.9,33.0,S-P.Shop,4.8,https://www.ozon.kz/product/infinix-planshet-infinix-xpad-20-lte-8-256-gb-7000-ma-ch-android-15-x-zelenyy-11-8-gb-256-gb-zelenyy-2633861797/,2633861797.0,11.0,8.0,Android,256.0,1920x1200,Helio G88,8.0,IPS,Планшет,2025.0,90.0,206.0,MediaTek,8.0,2.0,ARM,Mali-G52 MC2,5.0,no_data,"Металл, Пластик",no_data,7000.0,no_data,257.6x169.2x7.9,498.0,Китай,1920.0,1200.0,2304000.0,241517.5,79.90256893785255,16.0,1.0,0.0042141651919832095,0.0001316926622494753,14.056224899598394,13.0,1,121.0,0,0,0
tablets,"Планшет Infinxi Pad Note 14 Pro，Андроид 2026 года, 10.1"" 16 ГБ/1024 ГБ, кремовый",51257.0,321359.0,4272.0,4.8,37.0,ZHII10,4.9,https://www.ozon.kz/product/planshet-infinxi-pad-note-14-pro-android-2026-goda-10-1-16-gb-1024-gb-kremovyy-3574013956/,3574013956.0,10.1,16.0,Android,1024.0,2560x1600,Snapdragon 8 Gen3 Leading Version,32.0,IPS,Планшет,2026.0,120.0,264.0,Qualcomm,8.0,3.4,Qualcomm,Adreno 750,16.0,Опционально,"Металл, Стекло, Пластик",Да,10000.0,"Клавиатура, Стилус",214*160*8.7,300.0,Китай,2560.0,1600.0,4096000.0,270102.0,84.04992547275788,27.2,2.0,0.019977759135337614,0.0003121524864896502,33.333333333333336,48.0,1,102.00999999999999,1,1,1
tablets,"Xiaomi Планшет, серый",60747.5,302265.0,17579.0,4.9,33.0,М.Видео,4.8,https://www.ozon.kz/product/xiaomi-planshet-seryy-3692458707/,3692458707.0,10.36,12.0,no_data,256.0,no_data,no_data,13.0,no_data,Планшет,2025.0,120.0,264.0,no_data,8.0,2.5,no_data,no_data,12.0,no_data,no_data,no_data,9705.0,no_data,no_data,500.0,Китай,2560.0,1600.0,4096000.0,241517.5,79.90256893785255,20.0,1.5,0.0042141651919832095,0.00019753899337421294,19.41,25.0,1,107.32959999999999,0,0,0
tablets,"Планшет Планшет 2026 года выпуска, Новый 5G Android 13, 10,36"", 16 ГБ +1 ТБ, 12000 мАч, 14-ядерный процессор, Wi-Fi, Большая сеть беспроводная, Русская Bluetooth-Клавиатура, Планшетная Пк. гарнитура, Bluetooth-гарнитура, Обычное устройство, Сенсорная ручка, 10.36"" 16 ГБ/1024 ГБ, синий",46026.0,161659.0,3836.0,5.0,3.0,Компьютерный магази...,4.9,https://www.ozon.kz/product/tablet-10-36-1024-gb-blue-3515714809/,3515714809.0,10.36,16.0,Android,1024.0,2560x1600,no_data,32.0,IPS,Планшет,2026.0,120.0,264.0,MediaTek,14.0,3.2,MediaTek,no_data,16.0,Есть,Металл,Да,12000.0,Клавиатура,300*200*50,500.0,Китай,2560.0,1600.0,4096000.0,115633.0,71.52895910527715,44.800000000000004,1.1428571428571428,0.02224829444227176,0.00034762960066049624,24.0,48.0,1,107.32959999999999,0,0,1
tablets,"Планшет Pad Samsumg Galxay S26 Plus, 10.1"" 16 ГБ/1024 ГБ, перламутровый, черно-серый",68981.0,330038.0,5749.0,5.0,33.0,NexusGlow Store,4.9,https://www.ozon.kz/product/planshet-pad-samsumg-galxay-s26-plus-10-1-16-gb-1024-gb-perlamutrovyy-cherno-seryy-3629925809/,3629925809.0,10.1,16.0,Android,1024.0,2560x1600,Snapdragon 8 Gen3 Leading Version,32.0,Super AMOLED,Планшет,2026.0,120.0,264.0,Qualcomm,8.0,3.4,Qualcomm,Adreno 750,16.0,Опционально,"Металл, Стекло",Да,10000.0,Клавиатура,214*160*8.7,300.0,Китай,2560.0,1600.0,4096000.0,261057.0,79.09907344002812,27.2,2.0,0.014844667372174946,0.00023194792769023353,33.333333333333336,48.0,1,102.00999999999999,1,0,1
